"R0000100","R0357900","R0536300","R0536401","R0536402","R1200300","R1205300","R1235800","R1482600","R2189100","R2200500","R2558800","R2563600","R3508200","R3511100","R3520100","R3880300","R3885200","R4909200","R4918000","R5459400","R5464400","R6536400","R6545000","R7222400","R7228100","S0924000","S0932900","S1535500","S1542000","S2005400","S2011800","S2990300","S2995900","S3805700","S4682600","S4685500","S4691000","S5405600","S6318100","S6321000","S6326800","S7506100","S8334600","S8339100","T0009400","T0741400","T0745900","T2012100","T2784900","T2789700","T3602100","T4496600","T4501300","T5202300","T6145500","T6150200","T6652100","T7640000","T7644700","T8123700","T9044600","Z9050500","Z9050600","Z9050700"
3363,0,2,5,1981,3,4,1,4,-4,-4,3,4,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,4,4,5
3364,0,2,12,1982,3,4,1,4,-4,-4,3,4,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,-5,-5,-5,3,4,4
3365,0,2,8,1983,3,1,1,4,-4,-4,2,5,-4,0,-4,3,4,0,-4,3,4,0,-4,3,4,0,-4,3,4,3,10,0,-4,3,-4,0,-4,-5,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,-5,3,-4,3,8,8
3366,1,1,12,1984,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,2,-5,-5,-5,3,-4,-4,3,0,-4,3,-4,3,-3,-3
3367,1,1,10,1980,3,1,1,4,-4,-4,3,1,-4,1,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,1,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,5,3,4
3368,0,2,9,1984,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,4,6
3369,0,1,4,1980,3,2,1,4,-4,-4,3,2,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,6,4,4
3370,0,1,6,1982,3,1,1,4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,0,-4,4,0,-4,2,0,-4,2,0,-4,2,0,-4,2,-4,2,4,4
3371,0,2,10,1984,3,1,1,4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
3372,1,1,10,1982,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,1,3,1,2,3,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8,8,9
